ip_dst,time(t-10),traffic(t-10),data_len(t-10),time(t-9),traffic(t-9),data_len(t-9),time(t-8),traffic(t-8),data_len(t-8),time(t-7),traffic(t-7),data_len(t-7),time(t-6),traffic(t-6),data_len(t-6),time(t-5),traffic(t-5),data_len(t-5),time(t-4),traffic(t-4),data_len(t-4),time(t-3),traffic(t-3),data_len(t-3),time(t-2),traffic(t-2),data_len(t-2),time(t-1),traffic(t-1),data_len(t-1),time(t),traffic(t),data_len(t)
192.168.1.149,2019/04/08 22:56:08,1.0,59.0,2019/04/08 22:56:29,1.0,46.0,2019/04/08 22:56:36,5.0,417.0,2019/04/08 22:57:01,1.0,59.0,2019/04/08 22:57:16,5.0,797.0,2019/04/08 22:57:30,3.0,143.0,2019/04/08 22:57:31,2.0,274.0,2019/04/08 22:57:48,1.0,31.0,2019/04/08 22:57:56,1.0,59.0,2019/04/08 22:58:23,4.0,448.0,2019/04/08 22:58:24,2,273
192.168.1.149,2019/04/08 22:56:29,1.0,46.0,2019/04/08 22:56:36,5.0,417.0,2019/04/08 22:57:01,1.0,59.0,2019/04/08 22:57:16,5.0,797.0,2019/04/08 22:57:30,3.0,143.0,2019/04/08 22:57:31,2.0,274.0,2019/04/08 22:57:48,1.0,31.0,2019/04/08 22:57:56,1.0,59.0,2019/04/08 22:58:23,4.0,448.0,2019/04/08 22:58:24,2.0,273.0,2019/04/08 22:58:49,1,59
192.168.1.149,2019/04/08 23:16:32,5.0,1132.0,2019/04/08 23:16:33,5.0,970.0,2019/04/08 23:16:41,6.0,695.0,2019/04/08 23:17:06,1.0,52.0,2019/04/08 23:17:07,1.0,46.0,2019/04/08 23:17:11,5.0,582.0,2019/04/08 23:17:31,2.0,91.0,2019/04/08 23:17:49,1.0,31.0,2019/04/08 23:18:00,1.0,52.0,2019/04/08 23:18:09,1.0,46.0,2019/04/08 23:18:24,1,52
192.168.1.149,2019/04/08 23:16:33,5.0,970.0,2019/04/08 23:16:41,6.0,695.0,2019/04/08 23:17:06,1.0,52.0,2019/04/08 23:17:07,1.0,46.0,2019/04/08 23:17:11,5.0,582.0,2019/04/08 23:17:31,2.0,91.0,2019/04/08 23:17:49,1.0,31.0,2019/04/08 23:18:00,1.0,52.0,2019/04/08 23:18:09,1.0,46.0,2019/04/08 23:18:24,1.0,52.0,2019/04/08 23:18:30,1,39
192.168.1.149,2019/04/08 23:16:41,6.0,695.0,2019/04/08 23:17:06,1.0,52.0,2019/04/08 23:17:07,1.0,46.0,2019/04/08 23:17:11,5.0,582.0,2019/04/08 23:17:31,2.0,91.0,2019/04/08 23:17:49,1.0,31.0,2019/04/08 23:18:00,1.0,52.0,2019/04/08 23:18:09,1.0,46.0,2019/04/08 23:18:24,1.0,52.0,2019/04/08 23:18:30,1.0,39.0,2019/04/08 23:18:49,1,52
192.168.1.149,2019/04/08 23:17:06,1.0,52.0,2019/04/08 23:17:07,1.0,46.0,2019/04/08 23:17:11,5.0,582.0,2019/04/08 23:17:31,2.0,91.0,2019/04/08 23:17:49,1.0,31.0,2019/04/08 23:18:00,1.0,52.0,2019/04/08 23:18:09,1.0,46.0,2019/04/08 23:18:24,1.0,52.0,2019/04/08 23:18:30,1.0,39.0,2019/04/08 23:18:49,1.0,52.0,2019/04/08 23:19:08,1,46
192.168.1.149,2019/04/08 23:17:07,1.0,46.0,2019/04/08 23:17:11,5.0,582.0,2019/04/08 23:17:31,2.0,91.0,2019/04/08 23:17:49,1.0,31.0,2019/04/08 23:18:00,1.0,52.0,2019/04/08 23:18:09,1.0,46.0,2019/04/08 23:18:24,1.0,52.0,2019/04/08 23:18:30,1.0,39.0,2019/04/08 23:18:49,1.0,52.0,2019/04/08 23:19:08,1.0,46.0,2019/04/08 23:19:11,5,570
192.168.1.149,2019/04/08 23:17:11,5.0,582.0,2019/04/08 23:17:31,2.0,91.0,2019/04/08 23:17:49,1.0,31.0,2019/04/08 23:18:00,1.0,52.0,2019/04/08 23:18:09,1.0,46.0,2019/04/08 23:18:24,1.0,52.0,2019/04/08 23:18:30,1.0,39.0,2019/04/08 23:18:49,1.0,52.0,2019/04/08 23:19:08,1.0,46.0,2019/04/08 23:19:11,5.0,570.0,2019/04/08 23:19:16,1,52
192.168.1.149,2019/04/08 23:17:31,2.0,91.0,2019/04/08 23:17:49,1.0,31.0,2019/04/08 23:18:00,1.0,52.0,2019/04/08 23:18:09,1.0,46.0,2019/04/08 23:18:24,1.0,52.0,2019/04/08 23:18:30,1.0,39.0,2019/04/08 23:18:49,1.0,52.0,2019/04/08 23:19:08,1.0,46.0,2019/04/08 23:19:11,5.0,570.0,2019/04/08 23:19:16,1.0,52.0,2019/04/08 23:19:26,9,1802
192.168.1.149,2019/04/08 23:17:49,1.0,31.0,2019/04/08 23:18:00,1.0,52.0,2019/04/08 23:18:09,1.0,46.0,2019/04/08 23:18:24,1.0,52.0,2019/04/08 23:18:30,1.0,39.0,2019/04/08 23:18:49,1.0,52.0,2019/04/08 23:19:08,1.0,46.0,2019/04/08 23:19:11,5.0,570.0,2019/04/08 23:19:16,1.0,52.0,2019/04/08 23:19:26,9.0,1802.0,2019/04/08 23:19:42,1,52
